run_file,model,dataset,sae_id,mode,seed,compute_max_per_turn,steering_used,n_examples,threshold,feature,strength,max_act,resolved_proxy_rate,avg_num_questions,necessity_precision,necessity_recall,resolved_dialog_rate,overall_weighted_score
ambik_9b_steered_seed42_feat294_str10.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,10.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed42_feat778_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,778,4.0,,0.19,1.19,0.4815,0.5532,,0.5705
ambik_9b_steered_seed50_feat124_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,124,3.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed50_feat550_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,550,1.0,,0.27,1.36,0.4925,0.7021,,0.6253
ambik_9b_steered_seed50_feat778_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,778,2.0,,0.24,1.2,0.4746,0.5957,,0.5877
ambik_9b_steered_seed42_feat540_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,540,3.0,,0.27,1.29,0.4688,0.6383,,0.5899
ambik_9b_steered_seed50_feat550_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,550,3.0,,0.24,1.14,0.4844,0.6596,,0.6147
ambik_9b_steered_seed50_feat308_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,308,4.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed50_feat124_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,124,4.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed42_feat308_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,308,1.0,,0.28,1.27,0.4925,0.7021,,0.6272
ambik_9b_steered_seed50_feat778_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,778,3.0,,0.18,1.09,0.434,0.4894,,0.5196
ambik_9b_steered_seed50_feat540_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,540,2.0,,0.26,1.3,0.5312,0.7234,,0.6321
ambik_9b_steered_seed42_feat294_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,1.0,,0.25,1.35,0.4923,0.6809,,0.6135
ambik_9b_steered_seed42_feat550_str10.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,550,10.0,,0.0,0.0,,0.0,,0.1
ambik_9b_steered_seed42_feat294_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,3.0,,0.25,1.26,0.4677,0.617,,0.5883
ambik_9b_steered_seed42_feat631_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,631,1.0,,0.26,1.21,0.4839,0.6383,,0.5975
ambik_9b_steered_seed42_feat540_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,540,1.0,,0.26,1.14,0.5,0.6596,,0.6086
ambik_9b_steered_seed50_feat294_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,294,3.0,,0.24,1.28,0.5,0.6809,,0.6062
ambik_9b_steered_seed42_feat308_str10.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,308,10.0,,0.0,0.0,,0.0,,0.1
