run_file,model,dataset,sae_id,mode,seed,compute_max_per_turn,steering_used,n_examples,threshold,feature,strength,max_act,resolved_proxy_rate,avg_num_questions,necessity_precision,necessity_recall,resolved_dialog_rate,overall_weighted_score
ambik_9b_steered_seed42_feat720_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,720,3.0,,0.06,0.13,0.5,0.1277,,0.3699
ambik_9b_steered_seed42_feat52_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,52,1.0,,0.32,1.35,0.4923,0.6809,,0.6244
ambik_9b_steered_seed42_feat294_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,1.0,,0.26,1.32,0.4844,0.6596,,0.604
ambik_9b_steered_seed42_feat294_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,294,3.0,,0.25,1.27,0.4844,0.6596,,0.6028
ambik_9b_steered_seed50_feat93_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,50,False,True,100,0.65,93,1.0,,0.26,1.33,0.4925,0.7021,,0.624
ambik_9b_steered_seed42_feat467_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,467,4.0,,0.28,1.25,0.5,0.7234,,0.634
ambik_9b_steered_seed42_feat130_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,130,4.0,,0.12,0.84,0.5,0.5957,,0.5471
ambik_9b_steered_seed42_feat52_str2.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,52,2.0,,0.25,1.08,0.4928,0.7234,,0.6372
ambik_9b_steered_seed42_feat93_str4.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,93,4.0,,0.18,1.17,0.473,0.7447,,0.6107
ambik_9b_steered_seed42_feat130_str1.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,130,1.0,,0.26,1.16,0.4828,0.5957,,0.5764
ambik_9b_steered_seed42_feat467_str3.0.json,gemma-2-9b-it,ambik_calib_100.csv,blocks.31.hook_resid_post,proxy,42,False,True,100,0.65,467,3.0,,0.29,1.35,0.4928,0.7234,,0.636
